job_title,company,location,description,skills_list,date_posted,extracted_skills
Software Engineer,IBM,Chennai,"Looking for a candidate with experience in Node.js, Docker, NumPy, Machine Learning, Scikit-learn, Deep Learning.","Node.js, Docker, NumPy, Machine Learning, Scikit-learn, Deep Learning",2024-04-17,"['docker', 'machine learning', 'deep learning', 'node.js', 'numpy', 'scikit-learn']"
Full Stack Developer,Amazon,Bangalore,"Looking for a candidate with experience in SQL, NumPy, Node.js, TensorFlow, React.","SQL, NumPy, Node.js, TensorFlow, React",2023-02-21,"['sql', 'tensorflow', 'react', 'node.js', 'numpy']"
Software Engineer,IBM,Bangalore,"Looking for a candidate with experience in PyTorch, NLP, Pandas, Deep Learning, TensorFlow, Python, React.","PyTorch, NLP, Pandas, Deep Learning, TensorFlow, Python, React",2023-07-20,"['python', 'tensorflow', 'pytorch', 'deep learning', 'react', 'pandas', 'nlp']"
Data Analyst,IBM,Bangalore,"Looking for a candidate with experience in Machine Learning, Java, Docker, Pandas, Spark.","Machine Learning, Java, Docker, Pandas, Spark",2023-07-22,"['java', 'docker', 'machine learning', 'pandas', 'spark']"
Software Engineer,Infosys,Mumbai,"Looking for a candidate with experience in Tableau, TensorFlow, Kubernetes, NumPy.","Tableau, TensorFlow, Kubernetes, NumPy",2024-03-25,"['kubernetes', 'tensorflow', 'numpy', 'tableau']"
NLP Engineer,Adobe,Hyderabad,"Looking for a candidate with experience in Power BI, Node.js, NLP, Docker.","Power BI, Node.js, NLP, Docker",2023-02-22,"['docker', 'node.js', 'power bi', 'nlp']"
Data Analyst,TCS,Bangalore,"Looking for a candidate with experience in Power BI, Kubernetes, PyTorch, SQL.","Power BI, Kubernetes, PyTorch, SQL",2023-12-05,"['sql', 'kubernetes', 'pytorch', 'power bi']"
Software Engineer,Meta,Delhi,"Looking for a candidate with experience in TensorFlow, Pandas, NLP, SQL, PyTorch, Docker, Node.js.","TensorFlow, Pandas, NLP, SQL, PyTorch, Docker, Node.js",2024-01-24,"['sql', 'docker', 'tensorflow', 'pytorch', 'node.js', 'pandas', 'nlp']"
Cloud Engineer,Google,Mumbai,"Looking for a candidate with experience in PyTorch, Kubernetes, Machine Learning, SQL.","PyTorch, Kubernetes, Machine Learning, SQL",2024-08-10,"['sql', 'kubernetes', 'pytorch', 'machine learning']"
Full Stack Developer,Meta,Hyderabad,"Looking for a candidate with experience in Kubernetes, Python, Machine Learning, NLP.","Kubernetes, Python, Machine Learning, NLP",2024-09-04,"['python', 'kubernetes', 'machine learning', 'nlp']"
Software Engineer,Google,Pune,"Looking for a candidate with experience in Kubernetes, PyTorch, Java, NLP, Python.","Kubernetes, PyTorch, Java, NLP, Python",2024-01-11,"['python', 'java', 'kubernetes', 'pytorch', 'nlp']"
Cloud Engineer,Accenture,Chennai,"Looking for a candidate with experience in Kubernetes, AWS, PyTorch, Deep Learning, NLP, Tableau.","Kubernetes, AWS, PyTorch, Deep Learning, NLP, Tableau",2024-07-09,"['aws', 'kubernetes', 'pytorch', 'deep learning', 'tableau', 'nlp']"
NLP Engineer,Infosys,Mumbai,"Looking for a candidate with experience in Java, NumPy, Spark, Pandas, SQL.","Java, NumPy, Spark, Pandas, SQL",2023-01-18,"['java', 'sql', 'pandas', 'numpy', 'spark']"
Cloud Engineer,Infosys,Pune,"Looking for a candidate with experience in Power BI, AWS, Scikit-learn, Docker, PyTorch, Machine Learning, Node.js.","Power BI, AWS, Scikit-learn, Docker, PyTorch, Machine Learning, Node.js",2024-09-04,"['aws', 'docker', 'pytorch', 'machine learning', 'node.js', 'scikit-learn', 'power bi']"
Data Analyst,Meta,Hyderabad,"Looking for a candidate with experience in Kubernetes, Deep Learning, NumPy, React.","Kubernetes, Deep Learning, NumPy, React",2023-10-14,"['kubernetes', 'deep learning', 'react', 'numpy']"
Data Scientist,Google,Chennai,"Looking for a candidate with experience in Power BI, Python, React, Tableau, Spark, Node.js, Deep Learning.","Power BI, Python, React, Tableau, Spark, Node.js, Deep Learning",2024-10-15,"['python', 'deep learning', 'react', 'node.js', 'tableau', 'power bi', 'spark']"
Data Scientist,Amazon,Hyderabad,"Looking for a candidate with experience in AWS, NumPy, Deep Learning, SQL, Machine Learning, Python, Java.","AWS, NumPy, Deep Learning, SQL, Machine Learning, Python, Java",2024-05-19,"['python', 'java', 'sql', 'aws', 'machine learning', 'deep learning', 'numpy']"
Data Analyst,Google,Bangalore,"Looking for a candidate with experience in Power BI, SQL, Java, Pandas.","Power BI, SQL, Java, Pandas",2023-12-21,"['java', 'sql', 'pandas', 'power bi']"
Full Stack Developer,Amazon,Bangalore,"Looking for a candidate with experience in TensorFlow, Docker, PyTorch, Pandas.","TensorFlow, Docker, PyTorch, Pandas",2023-02-25,"['docker', 'tensorflow', 'pytorch', 'pandas']"
Software Engineer,Google,Delhi,"Looking for a candidate with experience in SQL, Node.js, Java, PyTorch.","SQL, Node.js, Java, PyTorch",2023-07-31,"['java', 'sql', 'pytorch', 'node.js']"
DevOps Engineer,Accenture,Mumbai,"Looking for a candidate with experience in SQL, Node.js, Spark, Java, Docker, React.","SQL, Node.js, Spark, Java, Docker, React",2024-06-18,"['java', 'sql', 'docker', 'react', 'node.js', 'spark']"
Full Stack Developer,IBM,Bangalore,"Looking for a candidate with experience in PyTorch, NumPy, NLP, Tableau, Docker, Kubernetes.","PyTorch, NumPy, NLP, Tableau, Docker, Kubernetes",2023-06-07,"['docker', 'kubernetes', 'pytorch', 'numpy', 'tableau', 'nlp']"
Full Stack Developer,Accenture,Chennai,"Looking for a candidate with experience in Docker, Node.js, NLP, NumPy, Deep Learning.","Docker, Node.js, NLP, NumPy, Deep Learning",2024-01-16,"['docker', 'deep learning', 'node.js', 'numpy', 'nlp']"
NLP Engineer,Adobe,Pune,"Looking for a candidate with experience in Spark, Hadoop, Pandas, Tableau, PyTorch, NLP, SQL.","Spark, Hadoop, Pandas, Tableau, PyTorch, NLP, SQL",2023-12-01,"['sql', 'pytorch', 'pandas', 'tableau', 'spark', 'hadoop', 'nlp']"
NLP Engineer,Meta,Chennai,"Looking for a candidate with experience in Python, NLP, Hadoop, Deep Learning, PyTorch, Tableau, Spark.","Python, NLP, Hadoop, Deep Learning, PyTorch, Tableau, Spark",2023-12-28,"['python', 'pytorch', 'deep learning', 'tableau', 'spark', 'hadoop', 'nlp']"
Full Stack Developer,Flipkart,Mumbai,"Looking for a candidate with experience in NLP, AWS, Kubernetes, Spark, Python, React, Machine Learning.","NLP, AWS, Kubernetes, Spark, Python, React, Machine Learning",2023-11-25,"['python', 'aws', 'kubernetes', 'machine learning', 'react', 'spark', 'nlp']"
Cloud Engineer,Microsoft,Pune,"Looking for a candidate with experience in AWS, Spark, Kubernetes, Pandas, Python, SQL.","AWS, Spark, Kubernetes, Pandas, Python, SQL",2023-05-11,"['python', 'sql', 'aws', 'kubernetes', 'pandas', 'spark']"
Full Stack Developer,IBM,Delhi,"Looking for a candidate with experience in Docker, TensorFlow, Java, Scikit-learn, PyTorch, NumPy.","Docker, TensorFlow, Java, Scikit-learn, PyTorch, NumPy",2023-12-22,"['java', 'docker', 'tensorflow', 'pytorch', 'numpy', 'scikit-learn']"
NLP Engineer,Meta,Chennai,"Looking for a candidate with experience in PyTorch, Pandas, NumPy, SQL, Tableau.","PyTorch, Pandas, NumPy, SQL, Tableau",2024-06-28,"['sql', 'pytorch', 'pandas', 'numpy', 'tableau']"
Backend Developer,Meta,Chennai,"Looking for a candidate with experience in Hadoop, NumPy, Spark, Docker, Power BI.","Hadoop, NumPy, Spark, Docker, Power BI",2024-08-13,"['docker', 'numpy', 'power bi', 'spark', 'hadoop']"
Backend Developer,Amazon,Delhi,"Looking for a candidate with experience in Tableau, Scikit-learn, TensorFlow, NLP.","Tableau, Scikit-learn, TensorFlow, NLP",2023-06-17,"['tensorflow', 'scikit-learn', 'tableau', 'nlp']"
DevOps Engineer,Microsoft,Hyderabad,"Looking for a candidate with experience in SQL, Power BI, React, Deep Learning, NumPy, AWS, Pandas.","SQL, Power BI, React, Deep Learning, NumPy, AWS, Pandas",2023-09-12,"['sql', 'aws', 'deep learning', 'react', 'pandas', 'numpy', 'power bi']"
Software Engineer,Oracle,Mumbai,"Looking for a candidate with experience in Deep Learning, React, Python, Java, NLP, Node.js, NumPy.","Deep Learning, React, Python, Java, NLP, Node.js, NumPy",2023-04-16,"['python', 'java', 'deep learning', 'react', 'node.js', 'numpy', 'nlp']"
Cloud Engineer,Microsoft,Delhi,"Looking for a candidate with experience in TensorFlow, Kubernetes, React, AWS, Spark.","TensorFlow, Kubernetes, React, AWS, Spark",2024-10-14,"['aws', 'kubernetes', 'tensorflow', 'react', 'spark']"
AI Engineer,Flipkart,Bangalore,"Looking for a candidate with experience in Scikit-learn, Machine Learning, Spark, Python.","Scikit-learn, Machine Learning, Spark, Python",2023-07-24,"['python', 'machine learning', 'scikit-learn', 'spark']"
Machine Learning Engineer,Microsoft,Pune,"Looking for a candidate with experience in Spark, SQL, NumPy, Hadoop, React.","Spark, SQL, NumPy, Hadoop, React",2023-12-03,"['sql', 'react', 'numpy', 'spark', 'hadoop']"
Machine Learning Engineer,Capgemini,Delhi,"Looking for a candidate with experience in TensorFlow, React, NLP, Power BI.","TensorFlow, React, NLP, Power BI",2023-09-07,"['tensorflow', 'react', 'power bi', 'nlp']"
Data Scientist,Google,Delhi,"Looking for a candidate with experience in React, Pandas, Kubernetes, TensorFlow, Docker, Node.js, Hadoop.","React, Pandas, Kubernetes, TensorFlow, Docker, Node.js, Hadoop",2024-03-08,"['docker', 'kubernetes', 'tensorflow', 'react', 'node.js', 'pandas', 'hadoop']"
Backend Developer,IBM,Hyderabad,"Looking for a candidate with experience in Spark, Hadoop, AWS, Python.","Spark, Hadoop, AWS, Python",2024-06-30,"['python', 'aws', 'spark', 'hadoop']"
NLP Engineer,Accenture,Pune,"Looking for a candidate with experience in NumPy, Spark, Hadoop, Deep Learning, Scikit-learn, Machine Learning, Python.","NumPy, Spark, Hadoop, Deep Learning, Scikit-learn, Machine Learning, Python",2023-09-04,"['python', 'machine learning', 'deep learning', 'numpy', 'scikit-learn', 'spark', 'hadoop']"
NLP Engineer,Google,Pune,"Looking for a candidate with experience in Java, NLP, Machine Learning, Scikit-learn, AWS, Python.","Java, NLP, Machine Learning, Scikit-learn, AWS, Python",2023-03-19,"['python', 'java', 'aws', 'machine learning', 'scikit-learn', 'nlp']"
NLP Engineer,Google,Pune,"Looking for a candidate with experience in NLP, Scikit-learn, React, Node.js.","NLP, Scikit-learn, React, Node.js",2024-11-01,"['react', 'node.js', 'scikit-learn', 'nlp']"
Software Engineer,Capgemini,Hyderabad,"Looking for a candidate with experience in Docker, Tableau, Node.js, Hadoop, SQL, PyTorch, TensorFlow.","Docker, Tableau, Node.js, Hadoop, SQL, PyTorch, TensorFlow",2024-01-20,"['sql', 'docker', 'tensorflow', 'pytorch', 'node.js', 'tableau', 'hadoop']"
Full Stack Developer,Oracle,Delhi,"Looking for a candidate with experience in Deep Learning, SQL, Hadoop, TensorFlow, Scikit-learn, Docker, React.","Deep Learning, SQL, Hadoop, TensorFlow, Scikit-learn, Docker, React",2023-01-13,"['sql', 'docker', 'tensorflow', 'deep learning', 'react', 'scikit-learn', 'hadoop']"
Cloud Engineer,Amazon,Chennai,"Looking for a candidate with experience in Hadoop, TensorFlow, Tableau, NumPy, Scikit-learn.","Hadoop, TensorFlow, Tableau, NumPy, Scikit-learn",2023-03-03,"['tensorflow', 'numpy', 'scikit-learn', 'tableau', 'hadoop']"
NLP Engineer,Flipkart,Bangalore,"Looking for a candidate with experience in Node.js, Spark, Power BI, Kubernetes, Docker, Deep Learning, NumPy.","Node.js, Spark, Power BI, Kubernetes, Docker, Deep Learning, NumPy",2024-07-27,"['docker', 'kubernetes', 'deep learning', 'node.js', 'numpy', 'power bi', 'spark']"
Backend Developer,Google,Chennai,"Looking for a candidate with experience in Docker, Kubernetes, Python, Spark, PyTorch, Machine Learning.","Docker, Kubernetes, Python, Spark, PyTorch, Machine Learning",2023-11-11,"['python', 'docker', 'kubernetes', 'pytorch', 'machine learning', 'spark']"
DevOps Engineer,Adobe,Chennai,"Looking for a candidate with experience in React, NLP, Scikit-learn, NumPy.","React, NLP, Scikit-learn, NumPy",2023-12-19,"['react', 'numpy', 'scikit-learn', 'nlp']"
DevOps Engineer,Infosys,Mumbai,"Looking for a candidate with experience in Scikit-learn, Deep Learning, AWS, TensorFlow, Spark.","Scikit-learn, Deep Learning, AWS, TensorFlow, Spark",2023-12-16,"['aws', 'tensorflow', 'deep learning', 'scikit-learn', 'spark']"
Software Engineer,Meta,Chennai,"Looking for a candidate with experience in Scikit-learn, Docker, SQL, Node.js, Machine Learning, AWS.","Scikit-learn, Docker, SQL, Node.js, Machine Learning, AWS",2023-07-03,"['sql', 'aws', 'docker', 'machine learning', 'node.js', 'scikit-learn']"
Backend Developer,Amazon,Chennai,"Looking for a candidate with experience in AWS, React, NLP, PyTorch.","AWS, React, NLP, PyTorch",2023-10-19,"['aws', 'pytorch', 'react', 'nlp']"
Backend Developer,Meta,Delhi,"Looking for a candidate with experience in Deep Learning, Scikit-learn, Machine Learning, NumPy.","Deep Learning, Scikit-learn, Machine Learning, NumPy",2023-02-09,"['machine learning', 'deep learning', 'numpy', 'scikit-learn']"
DevOps Engineer,Capgemini,Delhi,"Looking for a candidate with experience in TensorFlow, Kubernetes, Docker, PyTorch, Power BI, SQL, Machine Learning.","TensorFlow, Kubernetes, Docker, PyTorch, Power BI, SQL, Machine Learning",2023-01-08,"['sql', 'docker', 'kubernetes', 'tensorflow', 'pytorch', 'machine learning', 'power bi']"
Data Analyst,Google,Chennai,"Looking for a candidate with experience in Tableau, Machine Learning, AWS, PyTorch, Spark.","Tableau, Machine Learning, AWS, PyTorch, Spark",2024-05-11,"['aws', 'pytorch', 'machine learning', 'tableau', 'spark']"
NLP Engineer,Amazon,Mumbai,"Looking for a candidate with experience in Scikit-learn, React, TensorFlow, Docker.","Scikit-learn, React, TensorFlow, Docker",2023-12-06,"['docker', 'tensorflow', 'react', 'scikit-learn']"
DevOps Engineer,Microsoft,Mumbai,"Looking for a candidate with experience in Hadoop, Deep Learning, Power BI, Pandas.","Hadoop, Deep Learning, Power BI, Pandas",2023-05-26,"['deep learning', 'pandas', 'power bi', 'hadoop']"
Full Stack Developer,Accenture,Pune,"Looking for a candidate with experience in TensorFlow, Deep Learning, Tableau, SQL, AWS, PyTorch, Docker.","TensorFlow, Deep Learning, Tableau, SQL, AWS, PyTorch, Docker",2024-01-14,"['sql', 'aws', 'docker', 'tensorflow', 'pytorch', 'deep learning', 'tableau']"
AI Engineer,Capgemini,Chennai,"Looking for a candidate with experience in Pandas, Python, Deep Learning, Docker.","Pandas, Python, Deep Learning, Docker",2023-10-26,"['python', 'docker', 'deep learning', 'pandas']"
Cloud Engineer,IBM,Chennai,"Looking for a candidate with experience in SQL, Kubernetes, Spark, Node.js, Java, Machine Learning.","SQL, Kubernetes, Spark, Node.js, Java, Machine Learning",2023-10-06,"['java', 'sql', 'kubernetes', 'machine learning', 'node.js', 'spark']"
DevOps Engineer,Oracle,Mumbai,"Looking for a candidate with experience in PyTorch, Scikit-learn, Docker, Kubernetes, React, Pandas, Node.js.","PyTorch, Scikit-learn, Docker, Kubernetes, React, Pandas, Node.js",2023-08-16,"['docker', 'kubernetes', 'pytorch', 'react', 'node.js', 'pandas', 'scikit-learn']"
Data Scientist,Oracle,Chennai,"Looking for a candidate with experience in Docker, Python, Machine Learning, Java, TensorFlow, NLP, PyTorch.","Docker, Python, Machine Learning, Java, TensorFlow, NLP, PyTorch",2024-01-05,"['python', 'java', 'docker', 'tensorflow', 'pytorch', 'machine learning', 'nlp']"
Data Scientist,IBM,Bangalore,"Looking for a candidate with experience in Spark, NumPy, Power BI, Python, Deep Learning, Java, SQL.","Spark, NumPy, Power BI, Python, Deep Learning, Java, SQL",2023-12-23,"['python', 'java', 'sql', 'deep learning', 'numpy', 'power bi', 'spark']"
AI Engineer,Meta,Chennai,"Looking for a candidate with experience in Hadoop, PyTorch, Python, Deep Learning, Spark.","Hadoop, PyTorch, Python, Deep Learning, Spark",2023-06-27,"['python', 'pytorch', 'deep learning', 'spark', 'hadoop']"
Data Scientist,IBM,Chennai,"Looking for a candidate with experience in Deep Learning, NLP, Python, Kubernetes, SQL, Power BI, Docker.","Deep Learning, NLP, Python, Kubernetes, SQL, Power BI, Docker",2024-06-12,"['python', 'sql', 'docker', 'kubernetes', 'deep learning', 'power bi', 'nlp']"
Data Analyst,IBM,Delhi,"Looking for a candidate with experience in TensorFlow, Deep Learning, PyTorch, Java, Python.","TensorFlow, Deep Learning, PyTorch, Java, Python",2023-12-22,"['python', 'java', 'tensorflow', 'pytorch', 'deep learning']"
Software Engineer,Flipkart,Pune,"Looking for a candidate with experience in Kubernetes, Java, Hadoop, Deep Learning, Node.js.","Kubernetes, Java, Hadoop, Deep Learning, Node.js",2024-09-13,"['java', 'kubernetes', 'deep learning', 'node.js', 'hadoop']"
Cloud Engineer,Google,Chennai,"Looking for a candidate with experience in Spark, Kubernetes, Node.js, AWS.","Spark, Kubernetes, Node.js, AWS",2023-04-07,"['aws', 'kubernetes', 'node.js', 'spark']"
DevOps Engineer,Accenture,Mumbai,"Looking for a candidate with experience in AWS, Power BI, Python, Tableau.","AWS, Power BI, Python, Tableau",2023-05-22,"['python', 'aws', 'tableau', 'power bi']"
Data Scientist,Amazon,Delhi,"Looking for a candidate with experience in TensorFlow, Power BI, Python, NLP, Java, Machine Learning.","TensorFlow, Power BI, Python, NLP, Java, Machine Learning",2023-05-12,"['python', 'java', 'tensorflow', 'machine learning', 'power bi', 'nlp']"
Software Engineer,Adobe,Hyderabad,"Looking for a candidate with experience in Tableau, PyTorch, Node.js, Kubernetes, Spark, SQL, React.","Tableau, PyTorch, Node.js, Kubernetes, Spark, SQL, React",2024-03-06,"['sql', 'kubernetes', 'pytorch', 'react', 'node.js', 'tableau', 'spark']"
AI Engineer,Oracle,Hyderabad,"Looking for a candidate with experience in PyTorch, Scikit-learn, Kubernetes, NumPy.","PyTorch, Scikit-learn, Kubernetes, NumPy",2024-08-26,"['kubernetes', 'pytorch', 'numpy', 'scikit-learn']"
Software Engineer,Infosys,Mumbai,"Looking for a candidate with experience in Deep Learning, TensorFlow, AWS, Hadoop.","Deep Learning, TensorFlow, AWS, Hadoop",2023-02-24,"['aws', 'tensorflow', 'deep learning', 'hadoop']"
Full Stack Developer,TCS,Delhi,"Looking for a candidate with experience in PyTorch, Kubernetes, Scikit-learn, Spark, Tableau, Node.js.","PyTorch, Kubernetes, Scikit-learn, Spark, Tableau, Node.js",2024-04-14,"['kubernetes', 'pytorch', 'node.js', 'scikit-learn', 'tableau', 'spark']"
Backend Developer,Meta,Pune,"Looking for a candidate with experience in Docker, Spark, NumPy, NLP.","Docker, Spark, NumPy, NLP",2023-09-16,"['docker', 'numpy', 'spark', 'nlp']"
Backend Developer,Meta,Hyderabad,"Looking for a candidate with experience in PyTorch, TensorFlow, Python, Scikit-learn, React, Pandas.","PyTorch, TensorFlow, Python, Scikit-learn, React, Pandas",2023-12-17,"['python', 'tensorflow', 'pytorch', 'react', 'pandas', 'scikit-learn']"
Full Stack Developer,Meta,Delhi,"Looking for a candidate with experience in SQL, Pandas, React, Tableau.","SQL, Pandas, React, Tableau",2024-09-15,"['sql', 'react', 'pandas', 'tableau']"
Backend Developer,Microsoft,Delhi,"Looking for a candidate with experience in Spark, Node.js, Deep Learning, Pandas, React, AWS.","Spark, Node.js, Deep Learning, Pandas, React, AWS",2024-07-19,"['aws', 'deep learning', 'react', 'node.js', 'pandas', 'spark']"
Data Scientist,Microsoft,Pune,"Looking for a candidate with experience in Pandas, NLP, Node.js, Hadoop, Tableau.","Pandas, NLP, Node.js, Hadoop, Tableau",2023-12-17,"['node.js', 'pandas', 'tableau', 'hadoop', 'nlp']"
Data Scientist,Flipkart,Pune,"Looking for a candidate with experience in SQL, Hadoop, Spark, NumPy, AWS, Tableau, Scikit-learn.","SQL, Hadoop, Spark, NumPy, AWS, Tableau, Scikit-learn",2023-08-11,"['sql', 'aws', 'numpy', 'scikit-learn', 'tableau', 'spark', 'hadoop']"
NLP Engineer,IBM,Delhi,"Looking for a candidate with experience in Spark, NumPy, Machine Learning, React.","Spark, NumPy, Machine Learning, React",2024-04-29,"['machine learning', 'react', 'numpy', 'spark']"
Software Engineer,Google,Hyderabad,"Looking for a candidate with experience in AWS, React, Machine Learning, Scikit-learn, Power BI, Node.js, Pandas.","AWS, React, Machine Learning, Scikit-learn, Power BI, Node.js, Pandas",2024-04-14,"['aws', 'machine learning', 'react', 'node.js', 'pandas', 'scikit-learn', 'power bi']"
Software Engineer,Accenture,Bangalore,"Looking for a candidate with experience in Python, NumPy, Scikit-learn, Machine Learning, TensorFlow, Docker.","Python, NumPy, Scikit-learn, Machine Learning, TensorFlow, Docker",2024-10-17,"['python', 'docker', 'tensorflow', 'machine learning', 'numpy', 'scikit-learn']"
Backend Developer,Infosys,Chennai,"Looking for a candidate with experience in PyTorch, Power BI, Docker, Kubernetes, TensorFlow, NLP, AWS.","PyTorch, Power BI, Docker, Kubernetes, TensorFlow, NLP, AWS",2024-08-17,"['aws', 'docker', 'kubernetes', 'tensorflow', 'pytorch', 'power bi', 'nlp']"
Machine Learning Engineer,Adobe,Mumbai,"Looking for a candidate with experience in Spark, Pandas, Java, Docker, Python, NLP.","Spark, Pandas, Java, Docker, Python, NLP",2023-08-05,"['python', 'java', 'docker', 'pandas', 'spark', 'nlp']"
Full Stack Developer,Amazon,Hyderabad,"Looking for a candidate with experience in AWS, Kubernetes, PyTorch, Docker, React.","AWS, Kubernetes, PyTorch, Docker, React",2023-07-18,"['aws', 'docker', 'kubernetes', 'pytorch', 'react']"
Backend Developer,Oracle,Pune,"Looking for a candidate with experience in Tableau, Python, Node.js, Java.","Tableau, Python, Node.js, Java",2024-02-18,"['python', 'java', 'node.js', 'tableau']"
Data Scientist,Flipkart,Pune,"Looking for a candidate with experience in Python, Spark, Hadoop, Kubernetes.","Python, Spark, Hadoop, Kubernetes",2023-10-03,"['python', 'kubernetes', 'spark', 'hadoop']"
Data Analyst,Flipkart,Hyderabad,"Looking for a candidate with experience in TensorFlow, Spark, Machine Learning, Kubernetes.","TensorFlow, Spark, Machine Learning, Kubernetes",2024-05-18,"['kubernetes', 'tensorflow', 'machine learning', 'spark']"
DevOps Engineer,Oracle,Delhi,"Looking for a candidate with experience in Machine Learning, React, Kubernetes, NumPy, PyTorch, SQL, TensorFlow.","Machine Learning, React, Kubernetes, NumPy, PyTorch, SQL, TensorFlow",2023-10-05,"['sql', 'kubernetes', 'tensorflow', 'pytorch', 'machine learning', 'react', 'numpy']"
Full Stack Developer,Adobe,Chennai,"Looking for a candidate with experience in Machine Learning, Docker, TensorFlow, Power BI, Spark, SQL, AWS.","Machine Learning, Docker, TensorFlow, Power BI, Spark, SQL, AWS",2024-11-05,"['sql', 'aws', 'docker', 'tensorflow', 'machine learning', 'power bi', 'spark']"
Backend Developer,Capgemini,Pune,"Looking for a candidate with experience in Power BI, NumPy, Hadoop, Deep Learning, SQL, Python.","Power BI, NumPy, Hadoop, Deep Learning, SQL, Python",2023-07-27,"['python', 'sql', 'deep learning', 'numpy', 'power bi', 'hadoop']"
AI Engineer,Amazon,Delhi,"Looking for a candidate with experience in Node.js, Python, Deep Learning, PyTorch, Pandas, TensorFlow, Docker.","Node.js, Python, Deep Learning, PyTorch, Pandas, TensorFlow, Docker",2024-11-27,"['python', 'docker', 'tensorflow', 'pytorch', 'deep learning', 'node.js', 'pandas']"
Software Engineer,Microsoft,Bangalore,"Looking for a candidate with experience in AWS, Docker, TensorFlow, Java, Node.js, Pandas, Deep Learning.","AWS, Docker, TensorFlow, Java, Node.js, Pandas, Deep Learning",2024-01-09,"['java', 'aws', 'docker', 'tensorflow', 'deep learning', 'node.js', 'pandas']"
Full Stack Developer,Google,Mumbai,"Looking for a candidate with experience in Docker, Machine Learning, SQL, Pandas.","Docker, Machine Learning, SQL, Pandas",2024-07-24,"['sql', 'docker', 'machine learning', 'pandas']"
Cloud Engineer,Accenture,Bangalore,"Looking for a candidate with experience in PyTorch, TensorFlow, Hadoop, NumPy, Power BI, Python, Tableau.","PyTorch, TensorFlow, Hadoop, NumPy, Power BI, Python, Tableau",2024-01-10,"['python', 'tensorflow', 'pytorch', 'numpy', 'tableau', 'power bi', 'hadoop']"
Cloud Engineer,Microsoft,Pune,"Looking for a candidate with experience in Kubernetes, Pandas, TensorFlow, Docker, AWS, React.","Kubernetes, Pandas, TensorFlow, Docker, AWS, React",2024-04-30,"['aws', 'docker', 'kubernetes', 'tensorflow', 'react', 'pandas']"
AI Engineer,Amazon,Mumbai,"Looking for a candidate with experience in PyTorch, React, Power BI, TensorFlow, Hadoop, Kubernetes, Python.","PyTorch, React, Power BI, TensorFlow, Hadoop, Kubernetes, Python",2023-10-10,"['python', 'kubernetes', 'tensorflow', 'pytorch', 'react', 'power bi', 'hadoop']"
Backend Developer,Capgemini,Pune,"Looking for a candidate with experience in Pandas, Kubernetes, PyTorch, NumPy, AWS, Hadoop, Machine Learning.","Pandas, Kubernetes, PyTorch, NumPy, AWS, Hadoop, Machine Learning",2024-09-09,"['aws', 'kubernetes', 'pytorch', 'machine learning', 'pandas', 'numpy', 'hadoop']"
Machine Learning Engineer,TCS,Hyderabad,"Looking for a candidate with experience in Kubernetes, PyTorch, Pandas, Tableau, NumPy.","Kubernetes, PyTorch, Pandas, Tableau, NumPy",2023-03-26,"['kubernetes', 'pytorch', 'pandas', 'numpy', 'tableau']"
NLP Engineer,Amazon,Pune,"Looking for a candidate with experience in PyTorch, Kubernetes, Machine Learning, Deep Learning, Hadoop, Docker.","PyTorch, Kubernetes, Machine Learning, Deep Learning, Hadoop, Docker",2024-02-08,"['docker', 'kubernetes', 'pytorch', 'machine learning', 'deep learning', 'hadoop']"
Full Stack Developer,Infosys,Mumbai,"Looking for a candidate with experience in Deep Learning, Java, Spark, Tableau, TensorFlow.","Deep Learning, Java, Spark, Tableau, TensorFlow",2023-05-09,"['java', 'tensorflow', 'deep learning', 'tableau', 'spark']"
Data Scientist,Adobe,Chennai,"Looking for a candidate with experience in Deep Learning, Pandas, Spark, Scikit-learn, Docker.","Deep Learning, Pandas, Spark, Scikit-learn, Docker",2024-02-24,"['docker', 'deep learning', 'pandas', 'scikit-learn', 'spark']"
DevOps Engineer,Meta,Pune,"Looking for a candidate with experience in Docker, Deep Learning, NLP, PyTorch.","Docker, Deep Learning, NLP, PyTorch",2023-07-08,"['docker', 'pytorch', 'deep learning', 'nlp']"
NLP Engineer,Amazon,Pune,"Looking for a candidate with experience in AWS, Power BI, Machine Learning, Pandas.","AWS, Power BI, Machine Learning, Pandas",2023-10-18,"['aws', 'machine learning', 'pandas', 'power bi']"
DevOps Engineer,Capgemini,Pune,"Looking for a candidate with experience in Java, NLP, Tableau, Python, Scikit-learn, Spark.","Java, NLP, Tableau, Python, Scikit-learn, Spark",2023-04-18,"['python', 'java', 'scikit-learn', 'tableau', 'spark', 'nlp']"
Full Stack Developer,Amazon,Hyderabad,"Looking for a candidate with experience in NumPy, Node.js, Kubernetes, Machine Learning, Tableau.","NumPy, Node.js, Kubernetes, Machine Learning, Tableau",2023-12-02,"['kubernetes', 'machine learning', 'node.js', 'numpy', 'tableau']"
Full Stack Developer,IBM,Delhi,"Looking for a candidate with experience in NLP, Machine Learning, SQL, React.","NLP, Machine Learning, SQL, React",2024-07-10,"['sql', 'machine learning', 'react', 'nlp']"
